time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-28 00:00:00+00:00,8,4,3.0,2.0
2025-03-29 00:00:00+00:00,6,4,4.0,2.0
2025-03-30 00:00:00+00:00,8,6,2.0,2.0
2025-03-31 00:00:00+00:00,7,6,30.0,1.0
2025-04-01 00:00:00+00:00,6,5,11.0,4.0
2025-04-02 00:00:00+00:00,5,4,8.0,4.0
2025-04-03 00:00:00+00:00,11,7,1.0,1.0
2025-04-04 00:00:00+00:00,11,5,31.0,1.0
2025-04-05 00:00:00+00:00,12,6,2.0,1.0
2025-04-06 00:00:00+00:00,8,5,2.0,2.0
2025-04-07 00:00:00+00:00,7,6,,
2025-04-08 00:00:00+00:00,5,4,2.0,2.0
2025-04-09 00:00:00+00:00,5,4,,
2025-04-10 00:00:00+00:00,6,3,1.0,1.0
